2026-04-06 20:07:36,063	Epoch	Train_Loss	Val_Loss
2026-04-06 20:09:07,811	1  :	0.03230218949608468	0.03162005029899894
2026-04-06 20:15:28,882	6  :	0.029932377029759764	0.03162764940621718
2026-04-06 20:22:06,058	11 :	0.024614968568062473	0.0327031662090207
2026-04-06 20:28:38,125	16 :	0.02353840931341342	0.03298603474109803
2026-04-06 20:34:59,115	21 :	0.023256128305958725	0.033131380126161396
2026-04-06 20:41:27,711	26 :	0.023096139780494778	0.03308004256829901
2026-04-06 20:48:06,479	31 :	0.02301759908739568	0.03306147111052612
2026-04-06 20:54:29,759	36 :	0.022938122154731226	0.033129686089056844
2026-04-06 21:01:08,376	41 :	0.022905166123539353	0.03308166411687743
2026-04-06 21:07:38,168	46 :	0.022851131272289413	0.03314426849192043
2026-04-06 21:14:00,804	51 :	0.022841528418052766	0.033188678675665044
2026-04-06 21:20:23,721	56 :	0.022794611136937693	0.03319889886902189
2026-04-06 21:26:53,775	61 :	0.022799278664549078	0.033070607659108235
2026-04-06 21:33:19,818	66 :	0.02278634409965099	0.03309821326215312
2026-04-06 21:39:58,074	71 :	0.022777009141032176	0.03319231276663969
2026-04-06 21:46:35,606	76 :	0.022750100560148204	0.03305487893521786
2026-04-06 21:53:08,047	81 :	0.022732928843574064	0.033358829616094536
2026-04-06 21:59:54,705	86 :	0.022733384783332942	0.033179616330648365
2026-04-06 22:06:32,404	91 :	0.02273184406183165	0.033246596248925855
2026-04-06 22:13:04,979	96 :	0.02270424017770219	0.03325141995864094
2026-04-06 22:19:31,281	101:	0.022724998074114273	0.033057710872787346
2026-04-06 22:26:15,136	106:	0.02272245815518875	0.03311206521993538
2026-04-06 22:32:53,387	111:	0.022693914135637264	0.033160387900359224
2026-04-06 22:39:32,867	116:	0.022706121798737558	0.03306545648934706
2026-04-06 22:46:10,267	121:	0.02269689932713101	0.033154065745337954
2026-04-06 22:52:50,006	126:	0.022673509126707212	0.033142323004749584
2026-04-06 22:59:40,291	131:	0.02270105732997315	0.03309883975757743
2026-04-06 23:06:06,235	136:	0.022681742442418586	0.03321945050133849
2026-04-06 23:12:37,416	141:	0.02267001416591544	0.03307445137146509
2026-04-06 23:19:08,787	146:	0.022669792499821904	0.03318765020033099
2026-04-06 23:25:46,573	151:	0.022678277806214373	0.033329383951594245
2026-04-06 23:32:17,382	156:	0.022669697349447293	0.033282009188858964
2026-04-06 23:38:48,683	161:	0.02268176653152226	0.03331742404766803
2026-04-06 23:45:27,999	166:	0.022659245691287844	0.03326176113958629
2026-04-06 23:51:52,132	171:	0.02268378679056439	0.03319279912788913
2026-04-07 00:09:40,735	Epoch	Train_Loss	Val_Loss
2026-04-07 00:11:21,639	1  :	0.03218694312597596	0.03141914353758659
2026-04-07 00:18:52,242	6  :	0.0305869018363146	0.03107591564503481
2026-04-07 00:26:32,575	11 :	0.02641190476323111	0.032183458157024294
2026-04-07 00:34:08,964	16 :	0.024425783142525963	0.0327322846383981
2026-04-07 00:41:46,578	21 :	0.023795743750610557	0.03287845507685868
2026-04-07 00:49:28,123	26 :	0.023494216230074534	0.03293812135761639
2026-04-07 00:57:10,217	31 :	0.023343964679864035	0.0327683558160404
2026-04-07 01:04:47,038	36 :	0.02320716807594586	0.032754658647584464
2026-04-07 01:12:24,115	41 :	0.02312160235628896	0.03280239807406687
2026-04-07 01:20:00,625	46 :	0.023069577038777173	0.03264380773564555
2026-04-07 01:27:36,363	51 :	0.023007953624019167	0.03289352158471098
2026-04-07 01:35:17,824	56 :	0.022980734184414535	0.03280680712382748
2026-04-07 01:43:00,346	61 :	0.022940381736505165	0.032789791649523774
2026-04-07 01:50:36,228	66 :	0.022918099846926367	0.0329751543700695
2026-04-07 01:58:07,387	71 :	0.02290195269386376	0.03300095074722227
2026-04-07 02:05:54,866	76 :	0.02290417247555993	0.03305518737519687
2026-04-07 02:13:36,513	81 :	0.022855585387408298	0.03309104945862068
2026-04-07 02:21:12,800	86 :	0.02287758627945687	0.03290177308163553
2026-04-07 02:28:49,664	91 :	0.022876558836694427	0.03292055842027349
2026-04-07 02:36:20,280	96 :	0.02287610563958242	0.03279484996115262
2026-04-07 02:43:56,650	101:	0.022855220567072763	0.03290233168540136
2026-04-07 02:51:43,041	106:	0.02286545053045937	0.0330143726659271
